"Enabled","Abilitato"
"Application Id","ID Applicazione"
"Secret Key","Chiave Segreta Applicazione"
"Login Button","Bottone Login"
"Layout Style","Stile Layout"
"Color Scheme","Stile Colore"
"Show faces","Visualizza foto"
"Show Header","Mostra Header"
"Add recommendations","Aggiungi consigli"
"Max Age","Età Massima Attività"
"The default is 0 (we don’t take age into account). Otherwise the valid values are 1-180, which specifies the number of days. For example, if you specify '7' the plugin will only show URLs which were created in the past week.","Di default è 0 (non si prende in considerazione l'età). Altrimenti i valori validi vanno da 1 a 180, che indicano i giorni. Per esempio, se specificate '7' il plugin mostrerà solo le URL che sono state create negli ultimi sette giorni."
"BelVG Disclaimer","<div style='padding:10px;background-color:#fff;border:1px solid #ddd;margin-bottom:7px;'><a href='http://blog.artera.it/ecommerce/facebook-connect-artera' target='_blank'>Clicca qui</a> per consultare la guida di configurazione del modulo.</div>"
"Like Button","Bottone Mi Piace"
"Activity","Attività Recenti"
"Facebook Connect and Like Free","Facebook Connect e Like Gratis"